clientid,latitude,longitude,location,block,district,rain,temp,wind,winddirection,humidity,ldate,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag,Id
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,29.9,0,300,68.1,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57320
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,27.4,0,0,73.3,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57322
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,28.7,0,0,79.3,10/29/2024 19:15,10/29/2024 19:57,1,0,0,NULL,1,57333
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,28,0,0,71.9,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57335
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,28,0,260,72.4,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57340
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,30.9,0,0,65.6,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57341
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,28.7,0,0,74.8,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57346
10262,26.508465,83.346954,VILL-PALIKHAS-1,BANSGAON,Gorakhpur,0,30,0,0,71.8,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57356
10281,26.75619,83.37823,JILA PRASHASAN KARYALAY CAMPUS,SADAR,Gorakhpur,0,29.4,0,0,73.7,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57364
10286,26.776062,83.49859,P SARANDA,SADAR,Gorakhpur,0,29.9,0,0,68.5,10/29/2024 19:30,10/29/2024 19:57,1,0,0,NULL,1,57378
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,27.4,0,0,79.2,10/29/2024 21:30,10/29/2024 21:57,1,0,0,NULL,1,57627
